date,LPX,AAL,CR,DAL,DLX,LUV,RHI,SNA,URI,AAP,AZO,EXPE,KBH,NFLX,PCLN,PHM,SHLD,TIF,TSN,HCA,AFL,AIZ,AMP,BLK,ETFC,GNW,HIG,LNC,MET,NTRS,PFG,PRU,UNM,AKAM,BVSN,CVG,FB,GOOGL,IAC,ORCL,VIAV,S,DYN,CBG,HST,RLGY
20 03 1990,14.70833333,,11.38888889,,30.25,1.05349563,1.395833333,20.75,,,,,6.4375,,,1.0625,,5.40625,8.958333333,,1.966666667,,,,,,,13.5,,5.21875,,,11.34375,,,,,,,0.660493827,,,,,26.375,
21 03 1990,14.70833333,,11.22222222,,30.25,1.042521717,1.385416667,21,,,,,6.375,,,1.046875,,5.421875,9,,2,,,,,,,13.53125,,5.229166667,,,11.0625,,,,,,,0.648148148,,,,,27,
22 03 1990,14.54166667,,11.33333333,,30,1.037034761,1.364583333,21.16666667,,,,,6,,,1.078125,,5.265625,8.958333333,,1.966666667,,,,,,,13.34375,,5.1875,,,10.96875,,,,,,,0.611111111,,,,,26.75,
23 03 1990,14.83333333,,11.22222222,,30,1.037034761,1.364583333,21.5,,,,,6.0625,,,1.078125,,5.25,9.041666667,,1.966666667,,,,,,,13.34375,,5.197916667,,,11.0625,,,,,,,0.62345679,,,,,27.125,
26 03 1990,14.75,,11.22222222,,29.875,1.020573892,1.369833333,21.41666667,,,,,6.125,,,1.09375,,5.21875,9.041666667,,1.966666667,,,,,,,13.375,,5.166666667,,,11.125,,,,,,,0.608024691,,,,,26.5,
27 03 1990,15,,10.77777778,,30.5,1.042521717,1.333333333,21.5,,,,,6.4375,,,1.125,,5.296875,9.208333333,,2.033333333,,,,,,,13.46875,,5.166666667,,,11.125,,,,,,,0.62654321,,,,,26.625,
28 03 1990,15,,10.5,,30.75,1.037034761,1.3125,22,,,,,6.5625,,,1.1875,,5.28125,9.208333333,,2.016666667,,,,,,,13.65625,,5.166666667,,,11.125,,,,,,,0.432098765,,,,,26.625,
29 03 1990,14.83333333,,10.5,,30.375,1.037034761,1.333333333,22.25,,,,,6.5,,,1.171875,,5.4375,9.333333333,,1.983333333,,,,,,,13.71875,,5.125,,,11.0625,,,,,,,0.456790123,,,,,26.5,
30 03 1990,14.58333333,,10.55555556,,30.5,1.042521717,1.333333333,22.16666667,,,,,6.375,,,1.171875,,5.625,9.458333333,,1.966666667,,,,,,,13.875,,5.125,,,11.28125,,,,,,,0.466049383,,,,,26.875,
2 04 1990,14.45833333,,10.5,,30.125,1.037034761,1.40625,22.25,,,,,6.4375,,,1.1875,,5.390625,9.541666667,,1.9,,,,,,,13.8125,,5.0625,,,11.1875,,,,,,,0.469135802,,,,,26.375,
3 04 1990,14.66666667,,10.27777778,,30.25,1.048008674,1.427083333,22.41666667,,,,,6.625,,,1.21875,,5.390625,9.791666667,,1.983333333,,,,,,,13.71875,,5.104166667,,,11.21875,,,,,,,0.478395062,,,,,26.375,
4 04 1990,14.70833333,,10.44444444,,30.125,1.037034761,1.416666667,22.41666667,,,,,6.5625,,,1.21875,,5.34375,9.708333333,,1.9,,,,,,,13.3125,,5.041666667,,,11.03125,,,,,,,0.456790123,,,,,25.75,
5 04 1990,14.875,,10.61111111,,30.375,1.037034761,1.395833333,22.41666667,,,,,6.6875,,,1.25,,5.375,9.625,,1.866666667,,,,,,,13,,5.083333333,,,11.03125,,,,,,,0.435185185,,,,,25.375,
6 04 1990,14.79166667,,10.55555556,,30.5,1.031547805,1.385416667,22.66666667,,,,,6.5,,,1.25,,5.375,9.875,,1.866666667,,,,,,,13.03125,,5.0625,,,11.0625,,,,,,,0.398148148,,,,,24.875,
9 04 1990,14.54166667,,10.5,,30.5,1.042521717,1.385416667,22.75,,,,,6.5,,,1.171875,,5.453125,9.958333333,,1.883333333,,,,,,,13.0625,,5.083333333,,,10.90625,,,,,,,0.416666667,,,,,24.25,
10 04 1990,14.54166667,,10.55555556,,30.125,1.064469543,1.395833333,22.66666667,,,,,6.625,,,1.171875,,5.484375,9.958333333,,1.866666667,,,,,,,13.09375,,5.0625,,,10.71875,,,,,,,0.419753086,,,,,23.75,
11 04 1990,14.66666667,,10.38888889,,30,1.097391281,1.40625,22.25,,,,,6.875,,,1.15625,,5.59375,9.75,,1.866666667,,,,,,,13.25,,5.041666667,,,10.8125,,,,,,,0.404320988,,,,,24,
12 04 1990,14.58333333,,10.44444444,,30.125,1.102878238,1.395833333,22.33333333,,,,,6.8125,,,1.15625,,5.65625,9.958333333,,1.866666667,,,,,,,13.875,,5.083333333,,,11,,,,,,,0.391975309,,,,,24.625,
16 04 1990,14.54166667,,10.38888889,,30,1.080930412,1.40625,22.33333333,,,,,6.75,,,1.140625,,5.65625,10.04166667,,1.866666667,,,,,,,13.78125,,5.104166667,,,11.34375,,,,,,,0.401234568,,,,,25.25,
17 04 1990,14.29166667,,10.55555556,,29.875,1.075443456,1.395833333,22.75,,,,,6.6875,,,1.1875,,5.65625,9.958333333,,1.866666667,,,,,,,13.90625,,5.145833333,,,11.125,,,,,,,0.416666667,,,,,26,
18 04 1990,13.95833333,,10.33333333,,29.125,1.064469543,1.385416667,23.25,,,,,6.75,,,1.15625,,5.640625,9.958333333,,1.85,,,,,,,13.6875,,5.145833333,,,11.09375,,,,,,,0.407407407,,,,,26.5,
19 04 1990,13.95833333,,10.27777778,,29,1.058982587,1.375,23.08333333,,,,,6.75,,,1.171875,,5.578125,10,,1.85,,,,,,,13.625,,5.125,,,10.875,,,,,,,0.398148148,,,,,26.25,
20 04 1990,13.54166667,,9.888888889,,29,1.048008674,1.385416667,23,,,,,6.5,,,1.15625,,5.65625,10.04166667,,1.833333333,,,,,,,13.1875,,5.145833333,,,10.90625,,,,,,,0.391975309,,,,,25.875,
23 04 1990,13.45833333,,9.944444444,,28.75,1.026060848,1.375,22.75,,,,,6.3125,,,1.140625,,5.53125,9.916666667,,1.8,,,,,,,13.1875,,5.166666667,,,10.8125,,,,,,,0.395061728,,,,,25.375,
24 04 1990,13.625,,9.833333333,,28.875,1.026060848,1.375,22.66666667,,,,,6.1875,,,1.140625,,5.5625,9.833333333,,1.8,,,,,,,13.1875,,5.166666667,,,10.75,,,,,,,0.391975309,,,,,25,
25 04 1990,13.66666667,,10.05555556,,29.25,1.05349563,1.375,22.58333333,,,,,6.25,,,1.140625,,5.375,9.791666667,,1.833333333,,,,,,,13.125,,5.125,,,10.75,,,,,,,0.391975309,,,,,24.625,
26 04 1990,13.66666667,,10.44444444,,29.5,1.064469543,1.375,22.08333333,,,,,6.0625,,,1.125,,5.421875,9.875,,1.833333333,,,,,,,13.1875,,5.104166667,,,10.75,,,,,,,0.395061728,,,,,23.375,
27 04 1990,13.58333333,,10.22222222,,29,1.048008674,1.364583333,21.83333333,,,,,5.875,,,1.125,,5.390625,9.833333333,,1.8,,,,,,,13.1875,,5.083333333,,,10.65625,,,,,,,0.382716049,,,,,22,
30 04 1990,13.58333333,,10.38888889,,29.75,1.048008674,1.359416667,21.83333333,,,,,5.5,,,1.109375,,5.25,9.833333333,,1.85,,,,,,,13.125,,5.083333333,,,10.84375,,,,,,,0.391975309,,,,,22.5,
1 05 1990,13.70833333,,10.5,,29.75,1.069956499,1.354166667,22.41666667,,,,,5.6875,,,1.0625,,5.125,9.791666667,,1.866666667,,,,,,,13.0625,,5.125,,,11.03125,,,,,,,0.364197531,,,,,25.625,
2 05 1990,13.83333333,,10.44444444,,30.125,1.091904325,1.34375,22.33333333,,,,,5.6875,,,1.03125,,4.984375,9.916666667,,1.866666667,,,,,,,13.0625,,5.041666667,,,11.3125,,,,,,,0.391975309,,,,,22.625,
3 05 1990,13.91666667,,10.77777778,,30.5,1.108365194,1.34375,22.5,,,,,6,,,1.0625,,4.890625,10,,1.883333333,,,,,,,13.03125,,5.041666667,,,11.375,,,,,,,0.425925926,,,,,22.125,
4 05 1990,14,,10.88888889,,30.875,1.119339107,1.354166667,23.33333333,,,,,6.0625,,,1.078125,,5,9.958333333,,1.866666667,,,,,,,13.03125,,5.0625,,,11.53125,,,,,,,0.444444444,,,,,22.25,
7 05 1990,13.95833333,,10.94444444,,30.75,1.135799976,1.34375,23.08333333,,,,,6.125,,,1.078125,,5.171875,9.958333333,,1.85,,,,,,,13.0625,,5.020833333,,,11.65625,,,,,,,0.447530864,,,,,22.625,
